,to,from,source
18,"В некоторых отношениях и судьба их была одинакова: оба женились по любви, оба скоро овдовели, у обоих оставалось по ребенку. Сын Дубровского воспитывался в Петербурге, дочь Кирила Петровича росла в глазах родителя, и Троекуров часто говаривал Дубровскому: «Слушай, брат, Андрей Гаврилович: коли в твоем Володьке будет путь, так отдам за него Машу; даром что он гол как сокол».","Дро кой савэ отлыджяибэна лэнгиро джиибэ здэлас екх прэ екхэскиро: сарэдуй ёнэ лынэ пэскэ ромнен пиро камаибэ, сарэдуендэ лэндэ сыго мэнэ ромня, сарэдуендэ лэндэ ачьяпэ пирэ екх чяворо — Дубровсконэскиро чяво сыклыя дро Петербурго, Кирило Петровичёскири чяй бария про якха пэскирэ дадэстэ, и Троекурово бут молы ракирлас Дубровсконэскэ: «Шун, пшала, Андреё Гавриловичё: коли дрэ тырэ Володькастэ явэла кучипэ, так отдава пал лэстэ Маша; на подыкхава со ёв нанго, сыр чирикло».",dubrovsky
19,"Андрей Гаврилович качал головою и отвечал обыкновенно: «Нет, Кирила Петрович: мой Володька не жених Марии Кириловне.","Андреё Гавриловичё качиндя шэрэса и ракирдя: «На, Кирило Петровичё: миро Володька на жэнихо Марьякэ Кириловнакэ.",dubrovsky
20,"Бедному дворянину, каков он, лучше жениться на бедной дворяночке да быть главою в доме, чем сделаться приказчиком избалованной бабенки».","Чёрорэ раскэ, саво ёв, фэдыр тэ лэл чэрорья райканя, тэ тэ явэл хуласа дро кхэр, coca тэ кэрпэ припхэныбнытконэса ваш збалындлэ гадёрьякэ.",dubrovsky
21,"Все завидовали согласию, царствующему между надменным Троекуровым и бедным его соседом, и удивлялись смелости сего последнего, когда он за столом у Кирила Петровича прямо высказывал свое мнение, не заботясь о том, противуречило ли оно мнениям хозяина.","Сарэнгэ сыс завистно согласиёскэ, саво сыс машкир пхуткирдэ Троекуровонэстэ и чёрорэ лэскирэ соседостэ и удивисонас Дубровсконэскирэ муршыпнаскэ, коли ёв пало скаминд Кирило Петровичёстэ выпхэнэлас надари пэскирэ лава на заботисалыи ваш одова, камэл ли тэ шунэл адасаво розракирибэ хулай.",dubrovsky
22,"Некоторые пытались было ему подражать и выйти из пределов должного повиновения, но Кирила Петрович так их пугнул, что навсегда отбил у них охоту к таковым покушениям, и Дубровский один остался вне общего закона.","Кой савэ рая камнэ адякэ жэ тэ лыджян пэс надари, сыр и Дубровско, нэ Кирило Петровичё адякэ лэн вытрашадя, со про вэко отмардя лэндэ камаибэ кэ адасаво муршыпэ, и Дубровско екхджино ачьяпэ адасавэса, савэса сыс жыко адава.",dubrovsky
23,Нечаянный случай все расстроил и переменил.,Нэ екх случяё capo хаскирдя и пирипарудя.,dubrovsky
24,Раз в начале осени Кирила Петрович собирался в отъезжее поле.,"Екхвар, коли ачья осень, Кирило Петровичё скэдыяпэ прэ охота джюклэнца дрэ дуратуны фэлда пэскирэ филатинатыр прэ рат.",dubrovsky
25,Накануне был отдан приказ псарям и стремянным быть готовыми к пяти часам утра.,Ангил адава сыс отдыно припхэныбэ джюкляренгэ 1 и стремяннонэнгэ 2 тэ явэн готовонэнца ко пандж мардэ злокоса.,dubrovsky
26,"Палатка и кухня отправлены были вперед на место, где Кирила Петрович должен был обедать.","Шатра и кухня сыс бичядэ англыдыр про штэто, кай Кирило Петровичё банго сыс тэ кэр бядо.",dubrovsky
27,"Хозяин и гости пошли на псарный двор, где более пятисот гончих и борзых жили в довольстве и тепле, прославляя щедрость Кирила Петровича на своем собачьем языке.","Хулай и гости гынэ прэ джюклэнгири грэда, кай бутыр панджешэлэндыр гончя3 и борза4 диндлэ дро татыпэ и чялэ, шари Кирило Петровичёс прэ пэскири джюкланы чиб.",dubrovsky
28,"Тут же находился и лазарет для больных собак под присмотром штаб-лекаря Тимошки и отделение, где благородные суки ощенялись и кормили своих щенят.","Адай жэ сыс и лазарето ваш насвалэ джюклэнгэ, тэло штаб-лекарёскиро Тимошкаскиро придыкхибэ, и отделениё, кай благородна джюкля биянэнас и чяравэнас пэскирэ тыкнэ джюклорэн.",dubrovsky
29,"Кирила Петрович гордился сим прекрасным заведением и никогда не упускал случая похвастаться оным перед своими гостями, из коих каждый осматривал его по крайней мере уже в двадцатый раз.","Кирило Петровичё пхутия адасавэ куч залыджяибнаса и николи на умэкэлас случаё тэ пошарпэ адалэса ангил пэскирэ гостендэ, савэндыр кажно дыкхья ужэ адава дро бишытко моло.",dubrovsky
30,"Он расхаживал по псарне, окруженный своими гостями и сопровождаемый Тимошкой и главными псарями; останавливался пред некоторыми конурами, то расспрашивая о здоровии больных, то делая замечания более или менее строгие и справедливые, то подзывая к себе знакомых собак и ласково с ними разговаривая. Гости почитали обязанностию восхищаться псарнею Кирила Петровича. Один Дубровский молчал и хмурился. Он был горячий охотник.","Ёв псирдя пирэ джюкланы грэда, машкир пэскирэ гостендэ, а палал гыя Тимошка и пхурыдыр джюклярья; тэрдёлас пашыл кой савэ кануры, то пучелас ваш насвалэ джюклэнгиро састыпэ, то кэри холямэ и чячюнэ замечании — то кхари кэ пэ джиндлэ джюклэн и розракири лэнца — гости бангэ сыс тэ шарэн Кирило Петровичёскирэ джюклэн — екх Дубровско сыс штыл и кэрдя холямо муй — ёв сыс хачкирдо охотнико.",dubrovsky
31,Его состояние позволяло ему держать только двух гончих и одну свору борзых; он не мог удержаться от некоторой зависти при виде сего великолепного заведения.,"Пэскирэ барвалыпнаса ёв могискирдя тэ рикир только дуе гончёнэн и екх борзо свора; ёв на могискирдя тэ урикирпэ завистятыр, дыкхи прэ адасаво куч заведениё.",dubrovsky
32,"«Что же ты хмуришься, брат, – спросил его Кирила Петрович, – или псарня моя тебе не нравится?»","—	Со ту холясоса, пшала, — пучья лэс Кирило Петровичё, — или псарня мири тукэ на покамьяпэ?",dubrovsky
33,"– «Нет, – отвечал он сурово, – псарня чудная, вряд людям вашим житье такое ж, как вашим собакам».","— На, — отпхэндяпэ ёв холямэс, — псарня дрэван куч — тырэ манушэнгэ ґалёв на фэдыр дживэлапэ тырэ джюклэндыр.",dubrovsky
34,Один из псарей обиделся.,Екх э псарендыр адасавэ лава прилыя дрэ обида.,dubrovsky
35,"«Мы на свое житье, – сказал он, – благодаря бога и барина не жалуемся, а что правда, то правда, иному и дворянину не худо бы променять усадьбу на любую здешнюю конурку.","—	Амэ прэ пэскиро джиибэ, — пхэндя ёв — слава дэвлэскэ и амарэ раскэ, на жалискирасапэ — а со чячё — то чячё, ваврэ и раскэ куч явэлас тэ пропарувэл филатин прэ сави наяви адай конура.",dubrovsky
36,Ему было б и сытнее и теплее».,— Лэскэ явэлас и чялыдыр и татыдыр.,dubrovsky
37,"Кирила Петрович громко засмеялся при дерзком замечании своего холопа, а гости вослед за ним захохотали, хотя и чувствовали, что шутка псаря могла отнестися и к ним.","Кирило Петровичё шундлэс засандяпэ пэскирэ дынарискирэ лавэндыр, гости тожэ сандлэпэ, нэ саи ёнэ джиндлэ, со дынарискирэ лава могискирдэ тэ отлыджянпэ и кэ ёнэ.",dubrovsky
38,Дубровский побледнел и не сказал ни слова.,"Дубровско попарныя, и на пхэндя ни лав ни паш.",dubrovsky
39,"В сие время поднесли в лукошке Кирилу Петровичу новорожденных щенят; он занялся ими, выбрал себе двух, прочих велел утопить.","Дрэ адая мэнта подлыджинэ ко Кирило Петровичё джюклорэн, савэ нагара бияндынэ — ёв залыяпэ лэнца, выкэдыя пэскэ дуен, ваврэн припхэндя тэ чюрдэн дро паны.",dubrovsky
40,"Между тем Андрей Гаврилович скрылся, и никто того не заметил.","Машкир адава Андреё Гавриловичё угыя, и никон адава на удыкхья.",dubrovsky
41,"Возвратясь с гостями со псарного двора, Кирила Петрович сел ужинать и тогда только, не видя Дубровского, хватился о нем. Люди отвечали, что Андрей Гаврилович уехал домой.","Коли Кирило Петровичё гостенца рисия джюклэнгирэ грэдатыр и бэстя тэ хал и на дыкхи Дубровсконэс, ухтылдяпэ ваш лэскэ. Мануша пхэндлэ, со Андреё Гавриловичё угыя кхэрэ.",dubrovsky
42,Троекуров велел тотчас его догнать и воротить непременно.,Троекурово припхэндя екхатыр тэ дотрадэн и тэ рискирэн лэс палэ.,dubrovsky
43,"Отроду не выезжал он на охоту без Дубровского, опытного и тонкого ценителя псовых достоинств и безошибочного решителя всевозможных охотничьих споров.","Ни коли ёв на сыс прэ охота би Дубровсконэскиро, саво джиндя и дрэван тиминякирдя охота джюклэнца и бихохаибнаскиро сэндякирдя савэ наяви охотакирэ кошыбэна.",dubrovsky
44,"Слуга, поскакавший за ним, воротился, как еще сидели за столом, и доложил своему господину, что, дескать, Андрей Гаврилович не послушался и не хотел воротиться. Кирила Петрович, по обыкновению своему разгоряченный наливками, осердился и вторично послал того же слугу сказать Андрею Гавриловичу, что если он тотчас же не приедет ночевать в Покровское, то он, Троекуров, с ним навеки рассорится.","Дынари, саво традыя палэ Дубровсконэстэ, рисия, коли инкэ о рая сыс бэштэ пало скаминд, и пхэндя пэскирэ раскэ, со Андреё Гавриловичё на кандыя и на закамья тэ рисёл палэ — Кирило Петровичё мато э гудлэ бравинтэндыр, росхолясыя и вавир моло бичядя одолэс жэ дынарис тэ пхэнэл Андреёскэ Гавриловичёскэ, со коли ёв екхатыр жэ на явэла тэ раткир дрэ Покровско, то ёв, Троекурово, лэса про вэко роскошэлапэ.",dubrovsky
45,"Слуга снова поскакал, Кирила Петрович, встав из-за стола, отпустил гостей и отправился спать.","Дынари отэнчя традыя, Кирило Петровичё, выгыи палэ скаминдэстыр, отмэкья гостен и гыя тэ совэл.",dubrovsky
46,На другой день первый вопрос его был: здесь ли Андрей Гаврилович?,Прэ вавир дывэс пэрво лэскиро пучибэ сыс: адай ли Андреё Гавриловичё?,dubrovsky
47,"Вместо ответа ему подали письмо, сложенное треугольником; Кирила Петрович приказал своему писарю читать его вслух и услышал следующее: «Государь мой премилостивый, Я до тех пор не намерен ехать в Покровское, пока не вышлете Вы мне псаря Парамошку с повинною; а будет моя воля наказать его или помиловать, а я терпеть шутки от Ваших холопьев не намерен, да и от Вас их не стерплю – потому что я не шут, а старинный дворянин.","Лэскэ прэ адава ничи на пхэндлэ, а подынэ лыл стходо тринэ вэнглэнца, Кирило Петровичё припхэндя пэскирэ чиныбнарискэ тэ гинэл — Дубровско чиндя: Государё миро куч, Мэ жыко одоя пора на джява дро Покровско, пока на прибичявэса ту мангэ джюклярис Пэрамошкас мангипнаса; а прэ лэстэ мири явэла воля тэ простинав или на, а тэ пирилыджяв сабэ тырэ дынарендыр мэ на лава, тэ и тутыр на могискирава — ваш одова со мэ на сом мануш савэстыр санапэ, а пхурано рай.",dubrovsky
48,– За сим остаюсь покорным ко услугам Андрей Дубровский».,— Пал адава ачьявапэ покорнонэса Андреё Дубровско.,dubrovsky
49,"По нынешним понятиям об этикете письмо сие было бы весьма неприличным, но оно рассердило Кирила Петровича не странным слогом и расположением, но только своею сущностью. «Как, – загремел Троекуров, вскочив с постели босой, – высылать к ему моих людей с повинной, он волен их миловать, наказывать! – да что он в самом деле задумал; да знает ли он, с кем связывается? Вот я ж его… Наплачется он у меня, узнает, каково идти на Троекурова!»","Пиро акакунэ полыибэна ваш этикето 5 адава лыл явэлас дрэван накуч, нэ адава лыл росхолякирдя Кирило Петровичёс на слогоса, нэ только пэскирэ чячипнаса: — Сыр, — задыя годла Троекурово, уштыи пасибнаскирьятыр пиранго, — тэ выбичявав кэ ёв мирэ манушэн мангипнаса, ёв могискирла лэнца со ками тэ кэрэл! — тэ со дро чячипэ лэскэ дро шэро загыя; тэ джинэл ли ёв, конэса спхандэлапэ, — тэрдёв мэ ж лэс — поровэла ёв мандэ, уґалёла, сыр тэ джял прэ Троекуровонэстэ!",dubrovsky
50,"Кирила Петрович оделся и выехал на охоту с обыкновенной своею пышностию, – но охота не удалась.","Кирило Петровичё уридяпэ и гыя прэ охота, сыр и гарыдыр барвалэс. Нэ охота на удыяпэ.",dubrovsky
51,"Во весь день видели одного только зайца, и того протравили.",Пал capo дывэс дыкхнэ только екхэ зайцос и одолэс заханэ джюкэла.,dubrovsky
52,"Обед в поле под палаткою также не удался, или по крайней мере был не по вкусу Кирила Петровича, который прибил повара, разбранил гостей и на возвратном пути со всею своей охотою нарочно поехал полями Дубровского.","Бядо дрэ фэлда тэлэ шатра тожэ на удыяпэ или сыс на пиро вкусо Кирило Петровичёскэ, саво мардя поварос, роскостя гостей и про палатуно дром сарэ пэскирэ охотаса пэфроми гыя пирэ Дубровосконэскирэ фэлды.",dubrovsky
53,"Прошло несколько дней, и вражда между двумя соседами не унималась.","Прогынэ накицы дывэса, и холы машкир дуендэ пашылатунэ рандэ на улыяпэ.",dubrovsky
54,"Андрей Гаврилович не возвращался в Покровское, Кирила Петрович без него скучал, и досада его громко изливалась в самых оскорбительных выражениях, которые благодаря усердию тамошних дворян доходили до Дубровского исправленные и дополненные.","Андреё Гавриловичё на рисия дро Покровско — Кирило Петровичё билэскиро тангискирдя и адава тангискирибэ ёв выпхэнэлас самонэ накуч кошыбнаскирэ лавэнца, савэ пиридэнаспэ Дубровсконэскэ инкэ бутыр пирикэрдэнца и допхэрдякирдэнца одолэ штэтытконэ ранца.",dubrovsky
55,Новое обстоятельство уничтожило и последнюю надежду на примирение.,Нэво рэндо хаскирдя и последнё надея про примирениё.,dubrovsky
56,"Дубровский объезжал однажды малое свое владение; приближаясь к березовой роще, услышал он удары топора и через минуту треск повалившегося дерева. Он поспешил в рощу и наехал на покровских мужиков, спокойно ворующих у него лес.","Дубровско обгыя екхвар пэскири набари филатин и коли лыя тэ поджял ко брэзытко вэш, то ушундя тэвэрэскиро чингирибэ, а пирдал мэнта и дрэвоскиро пэрибэ — Дубровско сыгэс традыя дро вэш и попыя прэ покровсконэ гаджендэ, савэ надари чёрдэ лэстыр о вэш.",dubrovsky
57,"Увидя его, они бросились было бежать. Дубровский со своим кучером поймал из них двоих и привел их связанных к себе на двор.","Удыкхи лэс, ёнэ чюрдынэнпэ тэ прастан — Дубровско пэскирэ шоляриса ухтылдя лэндыр дуен и яндя лэн спхандлэн кэ пэ прэ грэда.",dubrovsky
58,"Три неприятельские лошади достались тут же в добычу победителю. Дубровский был отменно сердит: прежде сего никогда люди Троекурова, известные разбойники, не осмеливались шалить в пределах его владений, зная приятельскую связь его с их господином. Дубровский видел, что теперь пользовались они происшедшим разрывом, и решился, вопреки всем понятиям о праве войны, проучить своих пленников прутьями, коими запаслись они в его же роще, а лошадей отдать в работу, приписав к барскому скоту.","Трин ворогенгирэ грая дорэстнэнпэ адай жэ Дубровсконэскэ — Дубровско сыс дрэван холямо, англыдыр Троекуровонэскирэ мануша, сарэнгэ джиндлэ розмариторья, ниекхвар на могискирдэ дрэ лэскири филатин тэ чёрэн со наяви, джины лэскиро — куч спхандыпэ лэнгирэ раса — Дубровско дыкхья, со акана ёнэ пользындлэпэ розрискирибнаса машкир лэстэ Троекуровонэса и закамья тэ высыклякирэл пленникэн раненца, савэ ёнэ лынэ дрэ лэскиро жэ вэш, а грэн тэ отдэл дрэ буты причины кэ раскиро ското.",dubrovsky
59,Слух о сем происшествии в тот же день дошел до Кирила Петровича.,Шуныбэ ваш адава рэндо дро одова жэ дывэс догыя ко Кирило Петровичё.,dubrovsky
60,"Он вышел из себя и в первую минуту гнева хотел было со всеми своими дворовыми учинить нападение на Кистеневку (так называлась деревня его соседа), разорить ее дотла и осадить самого помещика в его усадьбе. Таковые подвиги были ему не в диковину. Но мысли его вскоре приняли другое направление.","Ёв выгыя пэстыр и дрэ пэрво холякири мэнта камья сарэ пэскирэ кхэритконэнца 6 тэ кэр нападениё прэ Кистенёвка (адякэ кхардяпэ Дубровсконэскиро гав), тэ отлэл capo, и тэ кэр осада прэ кокорэ растэ дрэ лэскири филатин — адасавэ рэнды сыс лэстэ на дро пэрво моло — нэ сыго ёв прилыя вавир решениё.",dubrovsky
61,"Расхаживая тяжелыми шагами взад и вперед по зале, он взглянул нечаянно в окно и увидел у ворот остановившуюся тройку; маленький человек в кожаном картузе и фризовой шинели вышел из телеги и пошел во флигель к приказчику; Троекуров узнал заседателя Шабашкина и велел его позвать.","Псири пхарэс англэ и палэ пиро кхэр, ёв вздыкхья дрэ фэнштра и удыкхья пашыл порта тринэ грэн — тыкно мануш дро сымиритко нарто и грубо ворсистонэ байкатыр шынель выгыя урдэстыр и гыя дро флигелё ко припхэныбнытко — Троекурово уґалыя сэндарис Шабашкинос, и припхэндя лэс тэ кхарэн.",dubrovsky
62,"Через минуту Шабашкин уже стоял перед Кирилом Петровичем, отвешивая поклон за поклоном и с благоговением ожидая его приказаний.",Пирдал мэнта Шабашкино ужэ тэрдо сыс ангил Кирило Петровичёстэ банкири шэро и дужакири лэскиро припхэныбэ.,dubrovsky
63,"– Здорово, как бишь тебя зовут, – сказал ему Троекуров, – зачем пожаловал?","— Тэ явэс джидо, сыр хамэ тут кхарна, — пхэндя Троекурово, — палсо явьян?",dubrovsky
64,"– Я ехал в город, ваше превосходительство, – отвечал Шабашкин, – и зашел к Ивану Демьянову узнать, не будет ли какого приказания от вашего превосходительства.","— Мэ гыём дро форо, тумаро превосходительство, — отпхэндяпэ Шабашкино, — и загыём ко Ивано Демьяново тэ уґалёвав, на явэла ли саво припхэныбэ тумарэ превосходительствостыр.",dubrovsky
65,"– Очень кстати заехал, как бишь тебя зовут; мне до тебя нужда. Выпей водки да выслушай.","— Дрэван шукар со загыян, сыр хамэ тут кхарна; мангэ кэ ту рэндо сы, выпи бравинта, тэ вышун.",dubrovsky
66,Таковой ласковый прием приятно изумил заседателя.,Адасаво куч прилыибэ и на дужакирдя сэндари.,dubrovsky
67,Он отказался от водки и стал слушать Кирила Петровича со всевозможным вниманием.,Ёв отпхэндяпэ бравинтатыр. Лыя тэ шунэл Кирило Петровичёс.,dubrovsky
68,"– У меня сосед есть, – сказал Троекуров, – мелкопоместный грубиян; я хочу взять у него имение – как ты про то думаешь?","— Мандэ сы соседо, — пхэндя Троекурово — набарэфилатинытко грубияно: мэ камам тэ лав лэстэ филатин, — сыр ту ваш адава думискирэса?",dubrovsky
69,"– Ваше превосходительство, коли есть какие-нибудь документы или…","— Тумаро превосходительство, коли сы савэ наяви лыла, или...",dubrovsky
70,"– Врешь, братец, какие тебе документы.","— Хохавэса — пшала, савэ тукэ лыла.",dubrovsky
71,На то указы.,Прэ адава лылытка припхэныбэна.,dubrovsky
72,"В том-то и сила, чтобы безо всякого права отнять имение.","Дро одова-то и зор, соб бисарэскиро тэ откэдэс филатин.",dubrovsky
73,Постой однако ж.,Потэрдёв-ка уса таки.,dubrovsky
74,"Это имение принадлежало некогда нам, было куплено у какого-то Спицына и продано потом отцу Дубровского. Нельзя ли к этому придраться?","Адая филатин сыс ґapa амари, сыс киндлы савэстэ-то Спицыностэ, и бикиндлы отэнчя Дубровсконэскирэ дадэскэ — нашты ли кэ адава тэ приячес?",dubrovsky
75,"– Мудрено, ваше высокопревосходительство; вероятно, сия продажа совершена законным порядком.","— Пхаро, тумаро превосходительство, ґалёв, адава бикныбэ кэрдо сы законнонэ порядкоса.",dubrovsky
76,"– Подумай, братец, поищи хорошенько.","—	Подуминэ, пшала, породэ шукаринькэс.",dubrovsky
77,"– Если бы, например, ваше превосходительство могли каким ни есть образом достать от вашего соседа запись или купчую, в силу которой владеет он своим имением, то конечно…","—	Коли б, ваш примеро тумаро превосходительство могискирдэ сыр наяви тэ дорэсэн тумарэ соседостыр зачиныбэ пир саво ёв сы хуласа пэскирэ филатинакэ, то хай-жэ...",dubrovsky
78,"– Понимаю, да вот беда – у него все бумаги сгорели во время пожара.","— Полава, тэ окэ бида — лэстэ сарэ лыла схачинэ, коли сыс пожаро.",dubrovsky
79,"– Как, ваше превосходительство, бумаги его сгорели! чего ж вам лучше? – в таком случае извольте действовать по законам, и без всякого сомнения получите ваше совершенное удовольствие.","— Сыр, тумаро превосходительство — лыла лэскирэ схачинэ! Прэ сож тумэнгэ фэдыр — дрэ адасаво случяё кэрэнте пиро законэ и бисарэскиро получискирна тумаро удовольствиё.",dubrovsky
80,– Ты думаешь?,— Ту думинэса?,dubrovsky
81,"Ну, смотри же.","Нэ, дыкх жэ.",dubrovsky
82,"Я полагаюсь на твое усердие, а в благодарности моей можешь быть уверен.","Мири надея прэ тутэ, а мэ отплэскирава тукэ пал адава.",dubrovsky
83,"Шабашкин поклонился почти до земли, вышел вон, с того же дни стал хлопотать по замышленному делу, и благодаря его проворству ровно через две недели Дубровский получил из города приглашение доставить немедленно надлежащие объяснения насчет его владения сельцом Кистеневкою.","Шабашкино збандия ангил лэстэ набут на жыкэ пхув, выгыя яври и одолэ жэ дывэсэетыр лыя тэ лыджял пириракирибэна ваш задумискирдо рэндо, а пирдал дуй куркэ Дубровско получискирдя форостыр лыл дрэ саво пучьяпэ лэскири ли сы филатин Кистенёвка.",dubrovsky
84,"Андрей Гаврилович, изумленный неожиданным запросом, в тот же день написал в ответ довольно грубое отношение, в коем объявлял он, что сельцо Кистеневка досталось ему по смерти покойного его родителя, что он владеет им по праву наследства, что Троекурову до него дела никакого нет и что всякое постороннее притязание на сию его собственность есть ябеда и мошенничество.","Андреё Гавриловичё удивисалыя адасавэ пучибнастыр и дро одова жэ дывэс чиндя холямо лыл, дрэ саво ракирдяпэ, со филатин Кистенёвка дорэстяпэ лэскэ коли мэя лэскиро дад, со ёв сы чячюно хулай пиро наследство, со Троекуровонэскэ кэ ёв нанэ нисаво рэндо, и со саво наяви припхандыпэ кэ лэскири филатин сы начячипэ и гинкарипэ.",dubrovsky
